Date,Price,Open,Vol.
10/12/2021,1759.3,1753.6,168.11
10/11/2021,1755.7,1757.4,114.77
10/8/2021,1757.4,1757,240.37
10/7/2021,1759.2,1763.8,146.41
10/6/2021,1761.8,1760.5,159.22
10/5/2021,1760.9,1770.8,151.42
10/4/2021,1767.6,1762.6,166.18
10/1/2021,1758.4,1757.2,151.2
9/30/2021,1757,1726,246.37
9/29/2021,1722.9,1734,177.39
9/28/2021,1737,1750,0.96
9/27/2021,1751.4,1749.2,0.91
9/24/2021,1750.9,1744.9,0.54
9/23/2021,1748.9,1767.3,0.87
9/22/2021,1777.9,1772.6,0.12
9/21/2021,1777.3,1764,0.59
9/20/2021,1762.9,1752.2,0.36
9/17/2021,1750.5,1755.3,0.46
9/16/2021,1755.7,1795.4,0.09
9/15/2021,1793.7,1804.1,0.01
9/14/2021,1806.1,1789.5,0.03
9/13/2021,1793.3,1788.3,0.01
9/10/2021,1791,1804.2,0.01
9/9/2021,1798.9,1794.1,0.03
9/8/2021,1792.4,1799,0.01
9/7/2021,1797.4,1824,0.02
9/6/2021,1798.5,1833.5,252.48
9/3/2021,1832.6,1814.5,0.01
9/2/2021,1810.4,1811,0.02
9/1/2021,1814.9,1817.1,0.04
8/31/2021,1816.9,1816.9,170.39
8/30/2021,1810,1810,104.88
8/27/2021,1817.2,1792,8.73
8/26/2021,1793,1790.5,4.49
8/25/2021,1788.8,1802.6,6.78
8/24/2021,1806.3,1805.2,3.63
8/23/2021,1804,1780.1,6.79
8/20/2021,1781.8,1780.3,3.38
8/19/2021,1780.9,1787.4,3.63
8/18/2021,1782.3,1785.9,3.86
8/17/2021,1785.7,1786.8,6.03
8/16/2021,1787.6,1779.5,4.52
8/13/2021,1776,1752.7,6.33
8/12/2021,1749.8,1750.6,2.72
8/11/2021,1751.2,1728.1,5.91
8/10/2021,1729.7,1729.7,7.2
8/9/2021,1724.4,1763,16.04
8/6/2021,1761.1,1804,17.61
8/5/2021,1806.6,1812.2,8.98
8/4/2021,1812.2,1810.8,9.27
8/3/2021,1811.7,1814.1,4.29
8/2/2021,1819.8,1814.6,6.16
7/30/2021,1814.5,1830.3,7.47
7/29/2021,1833.2,1808.2,16.73
7/28/2021,1800.8,1800.2,2.15
7/27/2021,1800.9,1798.6,1.09
7/26/2021,1800.4,1803.4,0.63
7/23/2021,1802.9,1808.3,0.58
7/22/2021,1806.5,1805.3,0.71
7/21/2021,1804.4,1811.2,1.13
7/20/2021,1812.3,1813.3,0.22
7/19/2021,1810.2,1813.6,0.47
7/16/2021,1815.9,1831.5,0.27
7/15/2021,1829.9,1828.6,0.18
7/14/2021,1825.9,1806.7,0.09
7/13/2021,1810.8,1807.6,0.15
7/12/2021,1806.8,1809,0.19
7/9/2021,1811.5,1801,0.25
